food_id,urt_id
1,1
1,6
2,5
2,7
3,8
4,5
10,1
10,4
11,1
11,5
12,1
12,5
20,1
21,5
22,1
30,1
30,8
31,1
31,5
32,1
32,8
40,7
41,7
42,7
